er,name,age,elo,her,he,cer,ce,ger,ge
436,Tom Paris,22.6,1323.6,396,1324.8,464,1235.3,415,1361.8
437,Masamichi Imamura,26.2,1321.3,423,1293.7,442,1270.7,416,1360.7
438,Petr Bar Biryukov,22.9,1321.1,417,1301.7,444,1270.5,417,1360.5
439,Strong Kirchheimer,29.5,1320.6,419,1298.6,474,1210.2,419,1360.3
440,Tyler Zink,24.1,1320.4,401,1322.2,445,1269.2,420,1360.2
441,Gonzalo Villanueva,30.2,1318.4,472,1213.3,406,1315.7,422,1359.2
442,Dane Sweeny,23.9,1317.8,424,1293.7,469,1224.1,480,1302.7
443,Nikolas Sanchez Izquierdo,25.9,1315.7,471,1213.6,417,1302.3,423,1357.8
444,Conner Huertas Del Pino,29.2,1315.4,418,1300.2,441,1271.9,424,1357.7
445,Daniel Merida Aguilar,20.5,1308.4,480,1196.4,389,1332.8,428,1354.2
446,Ryan Seggerman,25.5,1308.0,448,1258.1,355,1365.2,429,1354.0
447,Fajing Sun,28.3,1307.2,428,1288.2,482,1185.2,431,1353.6
448,Oleg Prihodko,27.4,1303.0,432,1286.0,463,1236.8,432,1351.5
449,Oleksandr Ovcharenko,23.4,1301.1,437,1274.7,449,1264.3,433,1350.5
450,Kris Van Wyk,28.5,1300.3,427,1288.8,313,1400.1,342,1400.1
451,Daniel Dutra Da Silva,36.7,1298.1,457,1243.5,448,1265.9,434,1349.0
452,Jose Pereira,34.1,1291.1,456,1243.6,434,1277.6,441,1345.6
453,Franco Roncadelli,25.1,1289.5,463,1230.8,447,1267.6,443,1344.7
454,Alex Marti Pujolras,26.0,1286.9,433,1285.0,453,1257.7,445,1343.5
455,Sebastian Fanselow,33.0,1286.6,441,1271.2,454,1256.7,464,1325.7
456,Roberto Cid,31.6,1285.9,431,1287.2,456,1252.9,438,1347.3
457,Rigele Te,27.0,1284.4,454,1246.2,408,1313.4,447,1342.2
458,Keegan Smith,26.6,1283.2,451,1250.6,483,1184.7,449,1341.6
459,Eliakim Coulibaly,22.9,1282.7,460,1239.9,428,1290.2,450,1341.3
