id,name,age,points,hand,backhand,height,weight
a0cj,Duje Ajdukovic,24,339,R,2,188,78
n897,Sumit Nagal,27,332,R,2,178,69
tc01,Li Tu,28,331,R,1,183,80
v0dz,Luca Van Assche,20,324,R,2,178,72
kc04,Jozef Kovalik,32,322,R,2,183,82
w0bh,Coleman Wong,20,322,R,2,191,80
t0bw,James Trotter,25,322,R,0,183,75
a0gc,Terence Atmane,23,317,L,2,193,80
hf80,Hady Habib,26,316,R,2,188,88
s0gr,Timofey Skatov,24,315,R,2,175,72
ki63,Lukas Klein,27,313,R,0,193,85
m0oq,James McCabe,21,309,R,2,188,82
gf95,Hugo Grenier,29,308,R,2,196,85
k0e6,Alibek Kachmazov,22,306,R,0,185,81
gk06,Alexis Galarneau,26,306,R,2,180,79
df88,Aziz Dougaz,28,305,L,2,188,82
sy67,Sho Shimabukuro,27,304,R,2,180,78
ch12,Jan Choinski,28,302,R,2,196,88
h0du,Gustavo Heide,23,300,R,2,191,83
lb66,Constant Lestienne,32,299,R,2,180,71
m0jz,Filip Misolic,23,294,R,2,180,75
kc56,Aslan Karatsev,31,292,R,2,185,85
mj98,Facundo Mena,32,292,R,2,183,78
cc66,Andrea Collarini,33,292,L,2,183,78
s0aq,Yuta Shimizu,25,291,L,2,163,62
n0cs,Lukas Neumayer,22,291,R,2,183,70
h09n,August Holmgren,26,290,R,1,188,84
ke73,Dominik Koepfer,30,288,L,2,180,79
l0gh,Mark Lajal,21,287,R,2,191,80
b0er,Arthur Bouquier,24,287,R,2,188,86
g0gd,Matteo Gigante,23,284,L,2,180,68
s0k7,Zachary Svajda,22,284,R,2,175,70
e687,Daniel Evans,34,283,R,1,175,75
r0go,Henrique Rocha,21,283,R,2,180,83
a0ba,Federico Arnaboldi,24,277,R,2,185,78
bo10,Gijs Brouwer,29,276,L,2,191,73
m0ea,Pol Martin Tiffon,25,276,R,2,183,73
z09z,Beibit Zhukayev,24,275,R,2,198,93
d0dw,Titouan Droguet,23,272,R,2,191,80
b0mm,Edas Butvilas,20,272,R,2,191,78
r09x,Jurij Rodionov,25,271,L,2,191,83
g0dh,Alvaro Guillen Meza,22,271,R,2,175,73
b0id,Ignacio Buse,21,266,R,2,183,78
wb08,Yosuke Watanuki,27,264,R,2,180,73
va25,Valentin Vacherot,26,264,R,2,193,83
mn13,Maximilian Marterer,29,263,L,2,188,78
j553,Omar Jasika,27,260,L,2,183,60
e768,Antoine Escoffier,33,260,R,2,185,78
c0ht,Murphy Cassone,22,259,R,2,188,79
hg94,Benjamin Hassan,30,258,R,2,183,85
s0ak,Henri Squire,24,256,R,2,196,82
dc48,Murkel Dellien,27,254,R,2,193,84
p0j1,Rodrigo Pacheco Mendez,19,254,L,2,191,78
sr81,Khumoyun Sultanov,26,251,R,2,180,80
u134,Yasutaka Uchiyama,32,250,R,2,183,78
j09x,Filip Cristian Jianu,23,250,R,2,180,78
r0fp,Daniel Rincon,22,249,L,2,185,85
rh24,Emil Ruusuvuori,26,248,R,2,188,79
bi81,Alex Bolt,32,247,L,2,183,71
o0a2,Gauthier Onclin,24,247,R,2,180,77
v0dp,Adolfo Daniel Vallejo,20,247,R,2,183,75
ph64,Andrea Pellegrino,28,243,R,2,185,81
ta46,Bernard Tomic,32,243,R,2,196,91
a829,Radu Albot,35,242,R,2,175,69
r772,Albert Ramos-Vinolas,37,242,L,2,188,76
p0ay,Luka Pavlovic,25,241,R,2,196,88
j0a4,Paul Jubb,25,239,R,2,180,72
h09f,Yu Hsiou Hsu,26,235,R,2,178,75
k0hc,Maks Kasnikowski,21,232,R,2,180,78
r0e0,Chris Rodesch,23,231,R,2,198,93
v836,Juan Pablo Varillas,29,231,R,2,185,77
r0ed,Max Hans Rehberg,21,229,R,2,183,80
be69,Yan Bai,35,228,R,2,185,80
s0ek,Matias Soto,25,228,R,2,170,75
dc76,Viktor Durasovic,28,224,R,2,185,80
g09c,Marek Gengel,29,224,R,2,185,80
d0hd,Gabriel Debru,19,223,R,2,193,78
g0gw,Sascha Gueymard Wayenburg,21,223,R,2,191,81
y218,Elias Ymer,29,222,R,2,185,78
w857,Tung-Lin Wu,26,222,R,2,188,81
b0gr,Gonzalo Bueno,21,222,R,2,173,73
d0h9,Guy Den Ouden,23,221,R,2,183,76
n09u,Rio Noguchi,26,220,R,2,168,63
sn54,Frederico Ferreira Silva,30,220,L,2,178,74
rb60,Oriol Roca Batalla,31,219,R,1,175,75
ci14,Jay Clarke,26,219,R,2,183,83
ss25,Vitaliy Sachko,27,218,R,2,188,73
y171,Denis Yevseyev,31,218,R,2,188,80
s0la,Dominic Stricker,22,215,L,2,183,80
m0on,Johannus Monday,23,212,L,2,198,86
s0mn,Marat Sharipov,22,212,R,2,188,77
h0cx,Max Houkes,24,209,L,2,188,78
ag08,Andres Andrade,26,209,R,2,180,73
s0cg,Carlos Sanchez Jover,24,209,L,2,173,65
mw76,Matteo Martineau,26,206,R,1,183,78
rh59,Santiago Rodriguez Taverna,25,202,R,2,191,82
s0nv,Abdullah Shelbayh,21,201,L,2,180,73
p0gq,Mili Poljicak,20,199,R,2,185,92
b0jj,Robin Bertrand,22,199,R,0,178,70
t0dm,Juan Bautista Torres,23,197,R,2,178,73
p09o,Zsombor Piros,25,195,R,2,180,68
bv25,Javier Barranco Cosano,26,195,L,2,180,73
df92,Corentin Denolly,27,195,L,2,188,79
kc33,Dimitar Kuzmanov,31,194,R,2,183,77
o482,Gonzalo Oliveira,30,193,L,2,185,79
dg80,Enrico Dalla Valle,27,193,R,2,196,90
z09f,Patrick Zahraj,25,192,R,0,191,88
a0ab,Adrian Andreev,23,192,R,2,175,73
sm88,Karue Sell,31,191,R,2,183,81
c0ak,Oliver Crawford,25,190,R,2,180,82
cg04,Pedro Cachin,30,189,R,2,185,77
e0ac,Mathys Erhard,23,189,R,2,188,83
s0uv,Rei Sakamoto,18,187,R,2,193,80
w09g,J.J. Wolf,26,186,R,2,183,81
so20,Jelle Sels,29,186,R,1,188,83
bu54,Geoffrey Blancaneaux,26,186,R,2,180,75
cg33,Kimmer Coppejans,31,185,R,2,178,71
sx90,Fajing Sun,28,184,R,2,178,75
ea27,Blake Ellis,26,183,R,2,191,85
p0iy,Juan Carlos Prado Angelo,20,181,R,2,185,72
gg65,Michael Geerts,30,181,R,2,178,73
c0bh,Clement Chidekh,23,180,R,2,180,78
bu70,Remy Bertola,26,180,R,1,175,75
va08,Andrea Vavassori,29,179,R,1,193,82
ge28,Ivan Gakhov,28,179,L,2,191,83
s0o6,Ilia Simakin,21,177,R,2,193,85
m0if,Francesco Maestrelli,22,177,R,2,196,78
be90,Ricardas Berankis,34,175,R,2,175,78
m0nb,Aidan Mayo,21,175,R,0,183,75
k966,Martin Klizan,35,174,L,2,191,85
c0aj,Jie Cui,27,174,R,2,183,72
m0aw,Nicolas Mejia,25,174,R,2,183,79
o660,Genaro Alberto Olivieri,26,174,R,2,175,73
ga79,Lorenzo Giustino,33,174,R,2,180,80
ta12,Stefano Travaglia,33,172,R,2,185,80
hc21,Seongchan Hong,27,171,R,2,175,65
sg56,Daniel Dutra da Silva,36,171,L,2,0,73
b0u4,Nicolai Budkov Kjaer,18,170,R,2,188,80
n731,Christoph Negritu,31,170,R,2,193,83
m0oh,Lautaro Midon,21,169,R,2,180,71
b0lw,Mika Brunold,20,167,R,2,191,73
a09u,Nicolas Alvarez Varona,23,167,R,2,188,83
