tourney_id,matchId,tourney_name,surface,winner_id,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
339,qs024,Brisbane,Hard,h997,3,79,1,0,50,29,21,16,9,1,1,2,3,58,36,20,13,9,2,5
339,qs026,Brisbane,Hard,pf39,3,149,16,3,100,54,40,28,16,1,2,14,3,103,64,50,20,15,2,3
339,qs023,Brisbane,Hard,k926,3,94,3,0,60,41,30,10,9,6,7,2,3,58,35,23,10,9,6,10
339,qs019,Brisbane,Hard,a0ab,3,172,10,0,106,77,55,15,15,6,8,5,5,108,55,42,32,16,4,6
339,qs025,Brisbane,Hard,g628,3,57,3,2,35,19,18,7,7,0,1,2,3,44,22,15,2,8,3,9
339,qs017,Brisbane,Hard,tc01,3,77,6,2,71,42,30,17,10,4,4,3,2,54,35,26,9,10,1,3
339,qs021,Brisbane,Hard,gj16,3,110,8,6,82,51,39,20,15,1,2,8,0,82,48,39,20,15,5,7
339,qs027,Brisbane,Hard,b0nn,3,146,10,4,90,55,45,20,16,1,3,16,7,105,65,47,23,16,5,7
336,ms001,Hong Kong,Hard,mp20,3,103,2,1,77,60,44,7,12,4,6,4,1,75,48,28,14,12,4,8
336,ms003,Hong Kong,Hard,mp20,3,145,4,3,94,62,47,20,16,2,4,6,2,99,73,54,16,16,2,4
336,ms002,Hong Kong,Hard,n552,3,20,3,0,22,13,10,7,4,0,0,3,0,15,12,9,3,3,0,0
336,ms007,Hong Kong,Hard,mu94,3,156,2,4,102,69,47,17,16,7,11,9,4,102,69,54,11,16,4,7
336,ms006,Hong Kong,Hard,mp20,3,111,3,1,89,57,41,14,12,11,13,3,9,69,31,21,19,13,3,8
336,ms005,Hong Kong,Hard,n552,3,101,4,1,75,55,43,9,13,1,2,8,3,79,55,38,11,13,2,5
336,ms004,Hong Kong,Hard,s0re,3,104,9,4,77,57,44,6,13,4,6,6,2,81,55,43,11,13,6,8
336,ms008,Hong Kong,Hard,m0ci,3,118,5,2,103,67,45,15,15,10,13,10,3,85,53,39,15,15,5,9
336,ms015,Hong Kong,Hard,m0ej,3,86,6,3,49,37,30,7,9,2,2,6,2,70,49,32,9,10,7,10
336,ms014,Hong Kong,Hard,mu94,3,83,5,0,57,35,30,11,11,0,1,2,4,59,36,26,10,10,1,4
336,ms009,Hong Kong,Hard,s0re,3,77,9,2,54,40,32,5,8,6,6,5,6,49,33,23,2,8,3,7
336,ms010,Hong Kong,Hard,n552,3,129,1,1,90,62,43,17,16,5,8,7,5,90,59,41,14,15,3,7
